Date of Report,Finding,Positive Lessons Learned,Negative Lessons Learned,Source
May 2025,"Merck IT successfully converted 78% of existing SAS ADaM templates to R using GenAI, reducing manual effort by 66%.",Providing the LLM with examples of prior successful conversions (few-shot prompting) significantly improved accuracy for newer templates.,Initial quality for SAS programs containing complex macro variables did not meet expectations due to a lack of sufficient runtime information in prompts.,"2, 11"
March 2025,Generative AI achieved a 99.61% accuracy rate in extracting and structuring information from unstructured breast cancer pathology reports.,Automating extraction from free-text pathology reports significantly reduces processing time compared to traditional manual methods.,"Study results are limited to a single institution and specific cancer types, necessitating external validation for generalizability.",1
February 2025,Zero-shot prompting with GPT-4o replicated statistical similarity in 12 out of 13 parameters compared to real perioperative data (VitalDB).,"Zero-shot prompting democratizes data access by eliminating the need for technical expertise, computational resources, or pre-training to generate realistic tabular datasets.",The approach may fail to retain complex multivariate relationships or dependencies between parameters without further refinement.,"2, 12"
January 2025,"GPT-4-Turbo-Preview achieved 72% overall accuracy in replicating RCT designs, with 93% accuracy in intervention and 88% in recruitment designs, but lower accuracy in eligibility (55%) and outcomes (53%).","LLMs can enhance diversity and pragmatism in trial design, potentially improving generalizability and addressing recruitment bottlenecks.",Discrepancies in eligibility and outcomes measurement highlight that critical clinical insights and expert oversight remain necessary; hallucinations are a critical barrier.,2
2025-01-01,GPT-4 significantly under-detected potential drug-drug interactions (80 pDDIs) compared to standard methods (280 pDDIs).,Prompting specifically for QTc interactions improved detections from 10% to roughly 23%.,Pharmacology errors (misinterpreting magnesium as antacids) and output variability on repeated identical queries complicate quality control.,13
2025-01-01,LLM trial matching accuracy decreased by up to 10 points for underrepresented populations.,The EquityGuard framework reduced disparities and improved fairness metrics by 28–32% without sacrificing overall accuracy.,Marginalized labels triggered mental health assessments 6–7 times more often than clinically justified; high-income labels increased advanced imaging recommendations.,13
2025-01-01,Injecting 0.001% medical misinformation into training data increased harmful completions by 4.8%.,Mitigation strategies using biomedical knowledge graphs achieved an F1 score of 85.7% for detecting poisoned responses.,"Standard evaluation frameworks fail to detect models compromised by small-scale, inexpensive data poisoning attacks.",13
2024-09-04,GPT-4 achieved error-free ED discharge summaries in only 33% of cases compared to 10% for GPT-3.5.,GPT-4 shows fewer problems than GPT-3.5 in drafting summaries; newer models show rudimentary emotional intelligence for patient sentiment detection.,"Hallucinations occurred in 42% of GPT-4 summaries; inaccuracies, clinically relevant omissions, and misinterpretation of regionally variant medical shorthand remain common.",13
March 2024,"A comparative vignette study found ChatGPT used 27–41 times more words than human nurses and responded 2–4 times faster, but tended towards ""over-triage"".","The model maintains logical coherence and clarity, serving as a rapid digital assistant for first-draft responses.","ChatGPT exhibited indecisiveness in preliminary evaluations, suggested unnecessary tests, and struggled to reconsider choices when new knowledge was introduced.",14
February 2024,"Cornell task force established perspectives on GenAI use in research, highlighting a ""duty of discretion"" regarding sensitive data.",GenAI tools provide efficiency and scale for annotating documents and generating infographic images larger than possible with manual effort.,"Risks include ""hallucinated"" citations, unintentional plagiarism of training data, and environmental costs like high electricity and cooling water usage.",15
2024-01-01,Best-performing LLMs lagged behind physicians by 16–25 percentage points in diagnostic accuracy for abdominal presentations.,"Models excel in medical board exams and structured, synthetic diagnostic tasks.",Prompt fragility causes inconsistent outputs based on minor phrasing changes; models struggle with temporally distributed clinical data.,13
2024-01-01,FHIR-GPT achieved >90% exact-match rate in turning free-text medication mentions into HL7 FHIR resources.,Single LLMs wrapped in validation micro-services can outperform rule-based and deep-learning ensemble NLP pipelines; standardizing at design time eliminates retro-conversion costs.,Direct injection of JSON data into the EHR without conversion to HL7/FHIR can lead to unsafe orders if mis-mapped.,13
Not in source,"Agentic AI and AI-driven oversight eliminate operational bottlenecks (e.g., in decentralized trials) and enable risk-based monitoring (RBM) and fraud detection.","AI-enabled analytics reduce data delivery time from weeks to hours; standardizing data ingestion from 40+ sources creates a ""Single Source of Truth"" and optimizes storage.",Implementation requires strategic considerations for autonomous agents and building trust through human oversight to maintain responsible AI practices.,16
